rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1501803188955783131,,0,,1499216208,638104677,gps,,2,0,27.385683455,-82.5593192232,-15.6012596958,"[4.6727063402514615, 0.02332467283280959, 0.0, 0.02332467283280959, 4.663054591959691, 0.0, 0.0, 0.0, 0.0001034373229588184]",3
1501803188983227564,,1,,1499216208,638104677,gps,,2,0,27.385683455,-82.5593192232,-15.6012596958,"[4.6727063402514615, 0.02332467283280959, 0.0, 0.02332467283280959, 4.663054591959691, 0.0, 0.0, 0.0, 0.0001034373229588184]",3
1501803189017116657,,2,,1499216208,638104677,gps,,2,0,27.385683455,-82.5593192232,-15.6012596958,"[4.6727063402514615, 0.02332467283280959, 0.0, 0.02332467283280959, 4.663054591959691, 0.0, 0.0, 0.0, 0.0001034373229588184]",3
1501803189087650751,,3,,1499216208,739483118,gps,,2,0,27.3856850864,-82.5593207491,-15.6012596958,"[5.258950330615954, 0.030337659661404448, 0.0, 0.030337659661404448, 5.246395246942038, 0.0, 0.0, 0.0, 3.3323326353468987e-07]",3
1501803189117637291,,4,,1499216208,739483118,gps,,2,0,27.3856850864,-82.5593207491,-15.6012596958,"[5.258950330615954, 0.030337659661404448, 0.0, 0.030337659661404448, 5.246395246942038, 0.0, 0.0, 0.0, 3.3323326353468987e-07]",3
1501803189189014289,,5,,1499216208,739483118,gps,,2,0,27.3856850864,-82.5593207491,-15.6012596958,"[5.258950330615954, 0.030337659661404448, 0.0, 0.030337659661404448, 5.246395246942038, 0.0, 0.0, 0.0, 3.3323326353468987e-07]",3
1501803189217241160,,6,,1499216208,871918917,gps,,2,0,27.3856873463,-82.5593228611,-15.6012596958,"[6.089043469077899, 0.041923547493811775, 0.0, 0.041923547493811775, 6.071678227242798, 0.0, 0.0, 0.0, 0.00013281035520225362]",3
1501803189288885263,,7,,1499216208,871918917,gps,,2,0,27.3856873463,-82.5593228611,-15.6012596958,"[6.089043469077899, 0.041923547493811775, 0.0, 0.041923547493811775, 6.071678227242798, 0.0, 0.0, 0.0, 0.00013281035520225362]",3
1501803189323715924,,8,,1499216208,975320101,gps,,2,0,27.3856892119,-82.5593246036,-15.6012596958,"[6.789407914366173, 0.053211093245744134, 0.0, 0.053211093245744134, 6.767343967049964, 0.0, 0.0, 0.0, 3.332623120132878e-07]",3
1501803189351077246,,9,,1499216208,975320101,gps,,2,0,27.3856892119,-82.5593246036,-15.6012596958,"[6.789407914366173, 0.053211093245744134, 0.0, 0.053211093245744134, 6.767343967049964, 0.0, 0.0, 0.0, 3.332623120132878e-07]",3
1501803189380452298,,10,,1499216208,975320101,gps,,2,0,27.3856892119,-82.5593246036,-15.6012596958,"[6.789407914366173, 0.053211093245744134, 0.0, 0.053211093245744134, 6.767343967049964, 0.0, 0.0, 0.0, 3.332623120132878e-07]",3
1501803189421068479,,11,,1499216208,975320101,gps,,2,0,27.3856892119,-82.5593246036,-15.6012596958,"[6.789407914366173, 0.053211093245744134, 0.0, 0.053211093245744134, 6.767343967049964, 0.0, 0.0, 0.0, 3.332623120132878e-07]",3
1501803189451390114,,12,,1499216209,158360004,gps,,2,0,27.385692732,-82.5593278897,-15.6012596958,"[8.14669486079837, 0.07906254866620266, 0.0, 0.07906254866620266, 8.11385388227048, 0.0, 0.0, 0.0, 3.3307490869628217e-07]",3
1501803189522872700,,13,,1499216209,158360004,gps,,2,0,27.385692732,-82.5593278897,-15.6012596958,"[8.14669486079837, 0.07906254866620266, 0.0, 0.07906254866620266, 8.11385388227048, 0.0, 0.0, 0.0, 3.3307490869628217e-07]",3
1501803189554599216,,14,,1499216209,158360004,gps,,2,0,27.385692732,-82.5593278897,-15.6012596958,"[8.14669486079837, 0.07906254866620266, 0.0, 0.07906254866620266, 8.11385388227048, 0.0, 0.0, 0.0, 3.3307490869628217e-07]",3
1501803189583892298,,15,,1499216209,259871483,gps,,2,0,27.3856948049,-82.5593298232,-15.6012596958,"[8.96689620671552, 0.09723644391245445, 0.0, 0.09723644391245401, 8.926455604889433, 0.0, 0.0, 0.0, 0.00010187778737696533]",3
1501803189614200373,,16,,1499216209,259871483,gps,,2,0,27.3856948049,-82.5593298232,-15.6012596958,"[8.96689620671552, 0.09723644391245445, 0.0, 0.09723644391245401, 8.926455604889433, 0.0, 0.0, 0.0, 0.00010187778737696533]",3
1501803189655573372,,17,,1499216209,259871483,gps,,2,0,27.3856948049,-82.5593298232,-15.6012596958,"[8.96689620671552, 0.09723644391245445, 0.0, 0.09723644391245401, 8.926455604889433, 0.0, 0.0, 0.0, 0.00010187778737696533]",3
1501803189684072628,,18,,1499216209,354598045,gps,,2,0,27.3856968172,-82.559331699,-15.6012596958,"[9.777375681034929, 0.1170738212509419, 0.0, 0.11707382125094234, 9.72861841868275, 0.0, 0.0, 0.0, 3.3325829191732546e-07]",3
1501803189713918757,,19,,1499216209,354598045,gps,,2,0,27.3856968172,-82.559331699,-15.6012596958,"[9.777375681034929, 0.1170738212509419, 0.0, 0.11707382125094234, 9.72861841868275, 0.0, 0.0, 0.0, 3.3325829191732546e-07]",3
1501803189757142300,,20,,1499216209,354598045,gps,,2,0,27.3856968172,-82.559331699,-15.6012596958,"[9.777375681034929, 0.1170738212509419, 0.0, 0.11707382125094234, 9.72861841868275, 0.0, 0.0, 0.0, 3.3325829191732546e-07]",3
1501803189787787391,,21,,1499216209,456289291,gps,,2,0,27.3856990609,-82.5593337903,-15.6012596958,"[10.697392612610672, 0.14185155157221452, 0.0, 0.14185155157221363, 10.638241275604354, 0.0, 0.0, 0.0, 0.0001020628269857263]",3
1501803189816134069,,22,,1499216209,456289291,gps,,2,0,27.3856990609,-82.5593337903,-15.6012596958,"[10.697392612610672, 0.14185155157221452, 0.0, 0.14185155157221363, 10.638241275604354, 0.0, 0.0, 0.0, 0.0001020628269857263]",3
1501803189848036227,,23,,1499216209,456289291,gps,,2,0,27.3856990609,-82.5593337903,-15.6012596958,"[10.697392612610672, 0.14185155157221452, 0.0, 0.14185155157221363, 10.638241275604354, 0.0, 0.0, 0.0, 0.0001020628269857263]",3
1501803189888074688,,24,,1499216209,456289291,gps,,2,0,27.3856990609,-82.5593337903,-15.6012596958,"[10.697392612610672, 0.14185155157221452, 0.0, 0.14185155157221363, 10.638241275604354, 0.0, 0.0, 0.0, 0.0001020628269857263]",3
