rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,status,service,latitude,longitude,altitude,position_covariance,position_covariance_type
1501817751513548392,,0,,1499216208,565432549,gps,,2,0,27.3856818838,-82.5593177527,-15.6012596958,"[0.08892459350592176, 0.0002355287725190336, 0.0, 0.0002355287725190336, 0.08911621939672033, 0.0, 0.0, 0.0, 9.684976218031394e-07]",3
1501817751543515000,,1,,1499216208,669664860,gps,,2,0,27.3856819309,-82.5593177958,-15.6012596958,"[0.08905984140031262, 0.0002511599303531495, 0.0, 0.0002511599303531495, 0.08925073117055761, 0.0, 0.0, 0.0, 0.00010521174459719432]",3
1501817751584698433,,2,,1499216208,669664860,gps,,2,0,27.3856819309,-82.5593177958,-15.6012596958,"[0.08905984140031262, 0.0002511599303531495, 0.0, 0.0002511599303531495, 0.08925073117055761, 0.0, 0.0, 0.0, 0.00010521174459719432]",3
1501817751615967972,,3,,1499216208,739483118,gps,,2,0,27.385682013,-82.5593178713,-15.6012596958,"[0.08944035305716427, 0.0002827092313589935, 0.0, 0.0002827092313590074, 0.08962648857962405, 0.0, 0.0, 0.0, 3.3277074813983725e-07]",3
1501817751649876094,,4,,1499216208,761355877,gps,,2,0,27.3856819517,-82.5593178155,-15.6012596958,"[0.08936847518489476, 0.0003041500762406141, 0.0, 0.0003041500762406141, 0.08954149956645288, 0.0, 0.0, 0.0, 9.569071356507958e-07]",3
1501817751678833588,,5,,1499216208,761355877,gps,,2,0,27.3856819517,-82.5593178155,-15.6012596958,"[0.08936847518489476, 0.0003041500762406141, 0.0, 0.0003041500762406141, 0.08954149956645288, 0.0, 0.0, 0.0, 9.569071356507958e-07]",3
1501817751717766595,,6,,1499216208,761355877,gps,,2,0,27.3856819517,-82.5593178155,-15.6012596958,"[0.08936847518489476, 0.0003041500762406141, 0.0, 0.0003041500762406141, 0.08954149956645288, 0.0, 0.0, 0.0, 9.569071356507958e-07]",3
1501817751748498457,,7,,1499216208,863867998,gps,,2,0,27.3856819943,-82.559317855,-15.6012596958,"[0.08950614635120804, 0.0003195248052606861, 0.0, 0.0003195248052606861, 0.08968074800405355, 0.0, 0.0, 0.0, 9.904287536435217e-07]",3
1501817751779065033,,8,,1499216208,863867998,gps,,2,0,27.3856819943,-82.559317855,-15.6012596958,"[0.08950614635120804, 0.0003195248052606861, 0.0, 0.0003195248052606861, 0.08968074800405355, 0.0, 0.0, 0.0, 9.904287536435217e-07]",3
1501817751808118489,,9,,1499216208,863867998,gps,,2,0,27.3856819943,-82.559317855,-15.6012596958,"[0.08950614635120804, 0.0003195248052606861, 0.0, 0.0003195248052606861, 0.08968074800405355, 0.0, 0.0, 0.0, 9.904287536435217e-07]",3
1501817751842842901,,10,,1499216208,863867998,gps,,2,0,27.3856819943,-82.559317855,-15.6012596958,"[0.08950614635120804, 0.0003195248052606861, 0.0, 0.0003195248052606861, 0.08968074800405355, 0.0, 0.0, 0.0, 9.904287536435217e-07]",3
1501817751882296210,,11,,1499216208,975320101,gps,,2,0,27.3856820477,-82.5593179039,-15.6012596958,"[0.08965842887535284, 0.0003439630202125357, 0.0, 0.0003439630202125357, 0.08982699445710265, 0.0, 0.0, 0.0, 3.323482042774859e-07]",3
1501817751914430265,,12,,1499216208,975320101,gps,,2,0,27.3856820477,-82.5593179039,-15.6012596958,"[0.08965842887535284, 0.0003439630202125357, 0.0, 0.0003439630202125357, 0.08982699445710265, 0.0, 0.0, 0.0, 3.323482042774859e-07]",3
1501817751943597816,,13,,1499216209,59173346,gps,,2,0,27.3856820753,-82.5593179298,-15.6012596958,"[0.08999460424510651, 0.00040391591651623565, 0.0, 0.0004039159165162287, 0.09014156728969704, 0.0, 0.0, 0.0, 9.882612603453453e-07]",3
1501817751984370818,,14,,1499216209,59173346,gps,,2,0,27.3856820753,-82.5593179298,-15.6012596958,"[0.08999460424510651, 0.00040391591651623565, 0.0, 0.0004039159165162287, 0.09014156728969704, 0.0, 0.0, 0.0, 9.882612603453453e-07]",3
1501817752015204775,,15,,1499216209,59173346,gps,,2,0,27.3856820753,-82.5593179298,-15.6012596958,"[0.08999460424510651, 0.00040391591651623565, 0.0, 0.0004039159165162287, 0.09014156728969704, 0.0, 0.0, 0.0, 9.882612603453453e-07]",3
1501817752045045756,,16,,1499216209,160361290,gps,,2,0,27.3856821153,-82.5593179672,-15.6012596958,"[0.09013513642899668, 0.00042419887317409616, 0.0, 0.0004241988731741031, 0.09028070409611655, 0.0, 0.0, 0.0, 7.000163361065123e-07]",3
1501817752110094852,,17,,1499216209,160361290,gps,,2,0,27.3856821153,-82.5593179672,-15.6012596958,"[0.09013513642899668, 0.00042419887317409616, 0.0, 0.0004241988731741031, 0.09028070409611655, 0.0, 0.0, 0.0, 7.000163361065123e-07]",3
1501817752150463424,,18,,1499216209,266733646,gps,,2,0,27.3856821626,-82.5593180107,-15.6012596958,"[0.09028458333491912, 0.00045163161825995113, 0.0, 0.0004516316182599442, 0.09042235429106654, 0.0, 0.0, 0.0, 9.907479121528001e-07]",3
1501817752182947778,,19,,1499216209,266733646,gps,,2,0,27.3856821626,-82.5593180107,-15.6012596958,"[0.09028458333491912, 0.00045163161825995113, 0.0, 0.0004516316182599442, 0.09042235429106654, 0.0, 0.0, 0.0, 9.907479121528001e-07]",3
1501817752218290170,,20,,1499216209,266733646,gps,,2,0,27.3856821626,-82.5593180107,-15.6012596958,"[0.09028458333491912, 0.00045163161825995113, 0.0, 0.0004516316182599442, 0.09042235429106654, 0.0, 0.0, 0.0, 9.907479121528001e-07]",3
1501817752243363135,,21,,1499216209,354598045,gps,,2,0,27.3856821964,-82.5593180417,-15.6012596958,"[0.09040317542048845, 0.00047132167320584895, 0.0, 0.00047132167320584895, 0.09053501621607447, 0.0, 0.0, 0.0, 3.3208764052372076e-07]",3
1501817752283692036,,22,,1499216209,354598045,gps,,2,0,27.3856821964,-82.5593180417,-15.6012596958,"[0.09040317542048845, 0.00047132167320584895, 0.0, 0.00047132167320584895, 0.09053501621607447, 0.0, 0.0, 0.0, 3.3208764052372076e-07]",3
1501817752314770573,,23,,1499216209,354598045,gps,,2,0,27.3856821964,-82.5593180417,-15.6012596958,"[0.09040317542048845, 0.00047132167320584895, 0.0, 0.00047132167320584895, 0.09053501621607447, 0.0, 0.0, 0.0, 3.3208764052372076e-07]",3
1501817752345291274,,24,,1499216209,459948778,gps,,2,0,27.3856822418,-82.559318084,-15.6012596958,"[0.09089219006761506, 0.0005563541019528301, 0.0, 0.0005563541019528301, 0.0909931568662207, 0.0, 0.0, 0.0, 9.9062675500034e-07]",3
1501817752379846872,,25,,1499216209,459948778,gps,,2,0,27.3856822418,-82.559318084,-15.6012596958,"[0.09089219006761506, 0.0005563541019528301, 0.0, 0.0005563541019528301, 0.0909931568662207, 0.0, 0.0, 0.0, 9.9062675500034e-07]",3
1501817752411685575,,26,,1499216209,459948778,gps,,2,0,27.3856822418,-82.559318084,-15.6012596958,"[0.09089219006761506, 0.0005563541019528301, 0.0, 0.0005563541019528301, 0.0909931568662207, 0.0, 0.0, 0.0, 9.9062675500034e-07]",3
1501817752445680648,,27,,1499216209,459948778,gps,,2,0,27.3856822418,-82.559318084,-15.6012596958,"[0.09089219006761506, 0.0005563541019528301, 0.0, 0.0005563541019528301, 0.0909931568662207, 0.0, 0.0, 0.0, 9.9062675500034e-07]",3
1501817752483707260,,28,,1499216209,586394072,gps,,2,0,27.3856823108,-82.5593181479,-15.6012596958,"[0.09109292855483113, 0.0005988588663034741, 0.0, 0.0005988588663034741, 0.09118655711128812, 0.0, 0.0, 0.0, 3.324638199903859e-07]",3
1501817752514135358,,29,,1499216209,586394072,gps,,2,0,27.3856823108,-82.5593181479,-15.6012596958,"[0.09109292855483113, 0.0005988588663034741, 0.0, 0.0005988588663034741, 0.09118655711128812, 0.0, 0.0, 0.0, 3.324638199903859e-07]",3
1501817752544522081,,30,,1499216209,659840822,gps,,2,0,27.3856823305,-82.5593181672,-15.6012596958,"[0.09140071573962119, 0.0006791411364083094, 0.0, 0.0006791411364083164, 0.0914648360907721, 0.0, 0.0, 0.0, 9.866276347034923e-07]",3
1501817752584056592,,31,,1499216209,659840822,gps,,2,0,27.3856823305,-82.5593181672,-15.6012596958,"[0.09140071573962119, 0.0006791411364083094, 0.0, 0.0006791411364083164, 0.0914648360907721, 0.0, 0.0, 0.0, 9.866276347034923e-07]",3
1501817752615068494,,32,,1499216209,659840822,gps,,2,0,27.3856823305,-82.5593181672,-15.6012596958,"[0.09140071573962119, 0.0006791411364083094, 0.0, 0.0006791411364083164, 0.0914648360907721, 0.0, 0.0, 0.0, 9.866276347034923e-07]",3
1501817752647301451,,33,,1499216209,761512041,gps,,2,0,27.3856823721,-82.5593182069,-15.6012596958,"[0.09155567147004447, 0.0007105540758569201, 0.0, 0.000710554075856934, 0.09161390199061203, 0.0, 0.0, 0.0, 2.7548199870258463e-07]",3
1501817752675378673,,34,,1499216209,761512041,gps,,2,0,27.3856823721,-82.5593182069,-15.6012596958,"[0.09155567147004447, 0.0007105540758569201, 0.0, 0.000710554075856934, 0.09161390199061203, 0.0, 0.0, 0.0, 2.7548199870258463e-07]",3
1501817752716861418,,35,,1499216209,761512041,gps,,2,0,27.3856823721,-82.5593182069,-15.6012596958,"[0.09155567147004447, 0.0007105540758569201, 0.0, 0.000710554075856934, 0.09161390199061203, 0.0, 0.0, 0.0, 2.7548199870258463e-07]",3
1501817752746872797,,36,,1499216209,862168789,gps,,2,0,27.3856824141,-82.5593182472,-15.6012596958,"[0.09171194885843978, 0.0007472974846068833, 0.0, 0.0007472974846068903, 0.09175909390778479, 0.0, 0.0, 0.0, 9.901898856496947e-07]",3
